Outlets Name,Latitude,Longitude,Company,City,links,State,state_district,county,postcode,suburb,Distance
Dhanalakshmi supermarket,17.49812987,78.57498968,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49812987,78.57498968",Telangana,Medchal Malkajgiri District,Kapra mandal,500062,Saket,1.967348048
Charan kirana general Store,17.48829642,78.61204265,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48829642,78.61204265",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.981021498
Mr general Store,17.48851036,78.61221841,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48851036,78.61221841",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.986367236
Ganesh kirana general Store,17.4849946,78.6099596,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4849946,78.6099596",Telangana,Ranga Reddy District,Keesara mandal,500083,Nagaram,1.995048533
AMAR M/H,17.4790221,78.58730588,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4790221,78.58730588",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,2.016594035
Laxmi traders,17.4890673,78.6130961,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4890673,78.6130961",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,2.039903067
SRI RAM BAKERY,17.51086714,78.57898855,Naturo,Hydrabad,"https://www.google.com/maps/search/17.51086714,78.57898855",Telangana,Medchal Malkajgiri District,Kapra mandal,500087,,2.04053768
Sri Ram bakery,17.4792145,78.5861898,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4792145,78.5861898",Telangana,Medchal Malkajgiri District,Kapra mandal,500062,Ward 3 Cherlapally,2.042397675
SREE. ADITHYA M/H,17.49211351,78.57500129,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49211351,78.57500129",Telangana,Medchal Malkajgiri District,Kapra mandal,500062,Ward 1 Kapra,2.046474971
Balaji kirana store,17.48497052,78.61061937,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48497052,78.61061937",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,2.047589656
